version,bsz,total_throughput
qwen_infinigen_cache_cpu,1,9.135
qwen_infinigen_cache_cpu,8,23.952
qwen_infinigen_cache_cpu,16,19.534
qwen_infinigen_cache_cpu,24,20.367
qwen_infinigen_cache_cpu,32,19.882
qwen_infinigen_cache_gpu,1,10.938
qwen_infinigen_cache_gpu,8,42.531
qwen_infinigen_cache_gpu,16,50.648
qwen_infinigen_cache_gpu,24,57.197
qwen_infinigen_cache_gpu,32,58.972
qwen_infinigen_original,1,5.577
qwen_infinigen_original,8,7.018
qwen_infinigen_original,16,5.834
qwen_infinigen_original,24,OOM
qwen_infinigen_straw,1,9.073
qwen_infinigen_straw,8,27.593
qwen_infinigen_straw,16,27.229
qwen_infinigen_straw,24,28.047
qwen_infinigen_straw,32,27.029
qwen_quest_cache_cpu,1,8.165
qwen_quest_cache_cpu,8,22.924
qwen_quest_cache_cpu,16,27.728
qwen_quest_cache_cpu,24,29.484
qwen_quest_cache_cpu,32,31.021
qwen_quest_cache_gpu,1,8.293
qwen_quest_cache_gpu,8,32.112
qwen_quest_cache_gpu,16,40.976
qwen_quest_cache_gpu,24,44.882
qwen_quest_cache_gpu,32,47.822
qwen_quest_original,1,7.679
qwen_quest_original,8,12.705
qwen_quest_original,16,13.704
qwen_quest_original,24,13.005
qwen_quest_original,32,13.680
qwen_quest_straw,1,6.999
qwen_quest_straw,8,20.498
qwen_quest_straw,16,23.532
qwen_quest_straw,24,25.434
qwen_quest_straw,32,25.436
qwen_infinigen,1,11.933
qwen_infinigen,8,30.554
qwen_infinigen,16,34.288
qwen_infinigen,24,35.008
qwen_infinigen,32,36.714
